"","Title","Maker","Identification_Numbers","Categories","Entities","Acquisition_and_Important_Dates","Description","Dating","School_or_Style","Materials_Used_in_Production","Website"
"11",NA,"Maker: Unidentified Venetian pottery (Probably)","Accession number: C.2210-1928|Primary reference Number: 80747|Old object number: 2458|Stable URI","Tin-glazed earthenware|Maiolica","Dish","Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Maiolica dish, painted in blue and white with a landscape featuring a ruin. Earthenware, tin-glazed pale blue overall. Painted in blue and white. Shape 59. Circular with slightly sloping rim and concave well, standing on a slight footring.
A landscape featuring a ruin with a colonnade behind a tree, and in the background, water and two pointed hills. A narrow band encircles the rim. On the back, interlacing blue petal outlines radiate from the footring.","16th century|Renaissance|Circa 1550 CE - 1575 CE","Renaissance","Tin-glaze|Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/80747"
"12",NA,"Pottery: Unidentified Orvieto pottery (Probably)","Accession number: C.81-1927|Primary reference Number: 47271|Stable URI","Tin-glazed earthenware","Ewer","Method of acquisition: Bequeathed (1927-12) by Harris, F. Leverton, The Right Hon.","Late Medieval, maiolica ewer, painted in copper-green, turquoise-green and manganese with panels containing stylised foliage, rhomboids and knots, surrounded by cross-hatching and shields. Pale buff earthenware, the foot lead-glazed yellowish-brown, the rest tin-glazed ivory; the glaze on the neck has a pock-marked surface and differs in colour from that on the body. Painted in copper-green, turquoise-green and manganese.
Shape15. Bulbous ovoid body with restriction round the widest part; moulded, solid pedestal foot; long slender neck, the rim pinched slightly at the front to form a lip; loop handle of triangular section, the lower end of which runs down the shoulder and terminates in an outward curling scroll.
On the restriction, there is a band of guilloche ornament. The rest of the body and neck are divided into panels containing manganese rhomboids, knots or stylised foliage, surrounded by cross-hatching, and, on the shoulder, two unblazoned shields. In the middle of the neck there is a turquoise-green chain. The handle is decorated with manganese ogee lines, each with a dab of green at its apex, and roughly drawn Vs on either side. Below the handle, there are narrow horizontal lines of alternate colours.","13th Century|14th Century|Medieval|Circa 1275 CE - 1350 CE","maiolica arcaica","except foot Tin-glaze|Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/47271"
"13","Standing Virgin and Child","Pottery: Unidentified Orvieto pottery (Probably)","Accession number: EC.2-1938|Primary reference Number: 47359|Old object number: 5077|Stable URI","Tin-glazed earthenware|Maiolica","Figure group","Method of acquisition: Given (1938-01-18) by Dickson, W. D. (Frances Louisa), Mrs","Tin-glazed earthenware painted in manganese and green Greyish-buff earthenware. Tin-glazed greyish-white on the exterior and painted in manganese and green. The Virgin stands holding the infant Christ in her left arm. Christ wears a skirt, and she wears a long pleated gown and a cloak over her head which falls down over her shoulders to the ground. The Virgin's costume is decorated with vertical rows of slanting manganese and green strokes between wide green and narrow manganese stripes. Christ's skirt has close-set stripes of alternate colours. The figure of the Virgin is hollow and the head was made separately and set into the body before firing.","14th Century|15th century|Circa 1350 CE - 1450 CE","maiolica arcaica","Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/47359"
"14","Sportsman and Lady with a Bird's Next","Factory: Chelsea Porcelain Manufactory","Accession number: C.89-1950|Primary reference Number: 80699|Stable URI","Soft-paste porcelain","Figure group","Method of acquisition: Given (1950) by Dickson, W. D. (Frances Louisa), Mrs","Soft-paste porcelain figure group of Sportsman and Lady with a Bird's Nest, slip-cast (presumed), and painted in polychrome enamels. Soft-paste porcelain figure group of Sportsman and Lady with a Bird's Nest, slip cast (presumed), lead-glazed, and painted in blue, green, yellow, flesh, red, mauve, brown, and black enamels. The unglazed underside has a circular ventilation hole below the woman. The wavy edged, leaf-shaped base narrows towards the viewer's left, and rises up in the middle into a low rock. The young woman sits on the rock with her right foot forward, looking down towards an ardent sportsman, whom she fends off with her right arm. She supports a birds nest on her lap with her left hand. The sportsman kneels on his left leg and leans towards her, as if to seize the bird's nest. His left arm is behind the girl and he grasps the back of her jacket with his left hand.","Red anchor period (1752-1756)|Mid 18th Century|George II|Circa 1755 CE - 1757 CE","Rococo","presumed lead Lead-glaze|Soft-paste porcelain","https://data.fitzmuseum.cam.ac.uk/id/object/80699"
"15","Nativity Inkstand","Maker: Giovanni di Nicola di Manzoni of Colle (Attributed to)","Accession number: C.2179-1928|Primary reference Number: 80698|Old object number: 3106|Stable URI","Tin-glazed earthenware|Maiolica","Inkstand","Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Maiolica inkstand with a three-dimensional Nativity group at the back, and an inkwell and candlesocket on either side Dark buff earthenware, tin-glazed on the upper surfaces; base streaked with glaze. Painted in dark blue, green, yellow, brownish-orange, and manganese-purple. Modelled in the form of a shallow tray with a Nativity group in the round at the back, a cylindrical inkwell on the right, and a smaller cylindrical candle socket (incorrectly restored) on the left. The Virgin Mary and St Joseph kneel on either side of a wattle stall occupied by an ox and an ass. The infant Christ lies on a wavy-edged cloth between them. In front of the figures is a space for pens, enclosed by a low wall, decorated on the exterior with strapwork.","Early 16th Century|Renaissance|Circa 1509 CE - 1516 CE","Renaissance","dark buff Earthenware|Tin-glaze","https://data.fitzmuseum.cam.ac.uk/id/object/80698"
"16","The White Partridge","Factory: Chelsea Porcelain Manufactory","Accession number: EC.21-1941|Primary reference Number: 80509|Stable URI","Porcelain|Soft-paste porcelain","Animal figure","Method of acquisition: Given (1941) by National Art Collections Fund","Soft-paste porcelain painted in enamels Soft-paste porcelain, lead-glazed and painted in blue, bluish-green, yellow, red, red-brown, purple, and black enamels. The partridge stands on both feet astride the stump, in profile to right with its head turned to its right. The larger tree trunk has three multiple stems bearing flowers, extending upwards under the bird's breast, and there is a spray of ivy on the ground. The bird is painted in red-brown and purple, with red combs and a red-lined black beak; the tree at the front is yellow with red and blue dotted flowers; the leaves on the base are bluish-green.","Raised anchor period (1749-1752)|Mid 18th Century|George II|Circa 1752 CE - 1753 CE","Rococo","glassy type Soft-paste porcelain|presumed lead Lead-glaze","https://data.fitzmuseum.cam.ac.uk/id/object/80509"
"17","The Contest between Apollo and Pan","Painter: Milan Marsyas Painter (Attributed to)","Accession number: C.133-1933|Primary reference Number: 79980|Stable URI","Tin-glazed earthenware|Maiolica","Bowl with broad rim|bowl","Method of acquisition: Given (1933-06-15) by de Pass, Alfred A.","Maiolica bowl with broad rim, painted in polychrome with The Contest between Apollo and Pan. Pale buff earthenware, tin-glazed overall; the glaze on the reverse pale beige, unevenly distributed and tinged with green in several places. There are eight minor flaws in the upper surface. Painted in blue, green, yellow, orange, brown, black, and white. Shape 57. Circular with a wide, almost flat rim and small, deep well; the underside of the rim moulded with three bands of reeding.
The Contest between Apollo and Pan. On the left, Pan sits on a tree stump holding his pipes. Apollo stands on the right, looking away from his adversary and holding a bow and a lira da braccio. There is a small tree behind Pan and a taller one in the middle. Suspended between their branches, there is a shield of Tuscan form charged with the arms azure, three crescents addorsed argent (one above and two below). In the foreground there is a path, and in the background, a hill town in a landscape. The edge is yellow. On the back, two yellow bands encircle the edge.","Second quarter of 16th century|Renaissance|Production date: circa AD 1530","Renaissance","Tin-glaze|Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/79980"
"18","Meleager hunting the Calydonian Boar","Painter: Milan Marsyas Painter (Attributed to)","Accession number: C.132-1933|Primary reference Number: 79972|Stable URI","Tin-glazed earthenware|Maiolica","Bowl|broad rimmed bowl","Method of acquisition: Given (1933-06-15) by de Pass, Alfred A.","Maiolica broad-rimmed bowl, painted in polychrome with Meleager hunting the Calydonian Boar with a coat-of-arms above Pale buff earthenware, tin-glazed overall; the reverse pale beige and tinged with green. Painted in blue, green, yellow, orange, brown, black, and white. Shape 57. Circular with a wide, almost flat rim and small deep well; the underside of the rim moulded with three bands of reeding.
Meleager hunting the Calydonian Boar. Meleager stands on the left aiming his bow and arrow at the boar which is already wounded and fleeing towards the right. In the landscape background there are trees, hills and a town. Above, suspended from the branches of a tree, there is a shield of Tuscan form charged with the arms azure, three crescents addorsed argent (one above and two below). The edge is yellow.","Second quarter of 16th century|Renaissance|Production date: circa AD 1530","Renaissance","beige on the back Tin-glaze|buff Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/79972"
"19","The Rape of Europa","Workshop: Maestro Giorgio Andreoli (Probably)|Workshop: uncertain (Uncertain)","Accession number: C.80-1927|Primary reference Number: 79940|Stable URI","Tin-glazed earthenware|Maiolica","Plate","Method of acquisition: Bequeathed (1926) by Harris, Frederick Leverton","Maiolica plate, painted in polychrome with The Rape of Europa. Pale buff earthenware, tin-glazed overall; the reverse pale beige and speckled. A small area on the base has crawled, revealing cream fabric. Painted in blue, green, yellow, orange, stone, dark brown, grey, black, and white; red, silvery-yellow, and on the back, pale yellow lustre. Shape approximately 55 but much shallower, with two concentric grooves under the outer edge. Circular with wide rim and shallow depression in the centre.
The Rape of Europa. On the upper left of the rim, Zeus sits on a cloud, accompanied by an eagle. On the right there is a tree, in front of which is a recumbent bull with Europa on its back, placing a garland of flowers round its horns. Opposite there are three cows, two of whom look towards Europa. In the middle she is represented again, being carried out to sea on the bull's back. In the landscape background there are rows of bushes and a city. The middle of the back is dated `1524' in yellow lustre, surrounded by three loose foliated scrolls alternating with three foliated sprays. The edge is yellow.","16th century|Renaissance|Production date: dated AD 1524","Renaissance","beige on the back Tin-glaze|buff Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/79940"
"20",NA,"Painter: Milan Marsyas Painter (Probably)","Accession number: MAR.C.61-1912|Primary reference Number: 79759|Stable URI","Tin-glazed earthenware|Maiolica","Dish","Method of acquisition: Bequeathed (1912) by Marlay, Charles Brinsley","Maiolica dish, painted in polychrome with Mount Parnassus, Apollo, Euterpe and Erato. Pale yellowish buff earthenware, tin-glazed overall. There is a fault in the glaze on the left of the rim and on the reverse it is pale beige and thinly applied. Painted in blue, green, yellow, orange, brown, black, grey, and white.
Shape 55. Circular with broad, sloping rim, shallow well and convex centre.
Parnassus. In the middle, Apollo sits playing a lyre in front of three trees. On the left, the Muse Euterpe sits holding a trumpet, and on the right, the Muse Erato, holding pipes. On each side a poet stands beside a tree; the one on the left looks away from the central group, the other towards it, holding his right index finger to his lips. Behind the figures there is a landscape and below, a window frame. On the upper right side there is a shield of Tuscan form, charged with the arms azure, an eagle displayed argent. The edge is yellow.","16th century|Renaissance|Circa 1530 CE - 1531 CE","Renaissance","Tin-glaze|Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/79759"
"21","A Battle","Workshop: Durantino, Guido (Probably)","Accession number: MAR.C.58-1912|Primary reference Number: 79718|Stable URI","Tin-glazed earthenware|Maiolica","Bowl|shallow bowl|dish","Method of acquisition: Bequeathed (1912) by Marlay, Charles Brinsley","Pale buff earthenware, tin-glazed overall; the reverse pale beige and faintly tinged with green. Painted blue, green, yellow, orange, brown, manganese-purple, black, and white. Circular with scalloped rim of twenty arcs, curved sides moulded with four double petal outlines, and convex centre, originally standing on a low foot.|Two armies in Roman costume, positioned on the right and left, are about to attack each other. One man has already been killed and lies on the ground in the middle. The commander of the troop on the right has an eagle crest on his helmet, and carries an oval shield charged with an eagle displayed below a crown; two soldiers behind him also have eagle crests. One of the opposing force carries a standard with a frog on it. In the landscape background there are tents, a tree, the sea and mountainous islands with buildings. The rim is yellow. On the back, the petals are outlined in blue and a yellow band encircles the rim.","16th century|Renaissance|Circa 1545 CE - 1560 CE","Renaissance","Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/79718"
"22",NA,"Potter: Unidentified Pesaro potter (Possibly)|Potter: Unidentified Urbania potter (Possibly)","Accession number: C.2271-1928|Primary reference Number: 79465|Stable URI","Tin-glazed earthenware|Maiolica","Two-handled bowl","Method of acquisition: Bequeathed (1928) by Glaisher, J. W. L., Dr","Maiolica two-handled bowl, painted in blue, yellow, orange, and purple with an angel and inscription 'COMARE LA/SVPPA', and grotesque birds. Buff earthenware, tin-glazed overall. Painted in blue, yellow, orange, and manganese-purple.
Circular bowl with deep sides, domed foot, and two loop handles, each with a branch on each side near the top.
Inside, an angel holding a drape inscribed 'COMARE LA/SVPPA' (Godmother's or Mother's soup) is surrounded by small grotesque birds and plant ornament. The border comprises a wide yellow band, blue and yellow slanting dashes and dots, and a blue band. The rim is yellow with orange strokes over its edge. On each side of the exterior there are two grotesque birds, with above, a wide yellow band and below, four narrow orange bands superimposed on a wide yellow band. A blue band encircles the junction of the bowl and stem. The edge of the foot is yellow. The handles have yellow sides striped in orange and blue backs striped in manganese.","18th century|1700 CE - 1800 CE",NA,"Tin-glaze|Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/79465"
"23",NA,"Potter: Unknown (Uncertain)","Accession number: C.2209-1928|Primary reference Number: 79271|Stable URI","Tin-glazed earthenware","Pharmacy jar|Maiolica|albarello","Method of acquisition: Bequeathed (1928) by Glaisher, J. W. L., Dr","Maiolica pharmacy jar, painted in blue, green, yellow, and orange, with a scroll round the middle inscribed `LOC D FARFA', across a garland of leaves and berries. Pale buff earthenware, tin-glazed off-white on the exterior and interior; base unglazed. The glaze is speckled. Painted in blue, green, yellow, and orange.
Cylindrical with convex swellings above and below the waist, and a short neck with expanding and everted rim.
Round the middle there is a scroll inscribed in blue Roman capitals `LOC D FARFA', across a garland of leaves and berries with wavy ribbons on each side. The area within the garland is yellow with an orange pomegranate above and below the label. Round the foot and neck there are yellow, orange, and blue horizontal bands.","Mid 16th century|Renaissance|Circa 1540 CE - 1570 CE","Renaissance","except base Tin-glaze|Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/79271"
"24",NA,"Maker: Unknown (Perhaps)","Accession number: C.2273-1928|Primary reference Number: 79135|Old object number: 4845|Stable URI","Tin-glazed earthenware|Maiolica","Salt|saliera","Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Earthenware, tin-glazed overall, except for the undersides of the feet. The glaze is thick, but where it lies thinly the fabric shows through it. Painted in yellow and orange.|The shallow, circular saltpan has an everted rim and is supported on the heads of four winged female terminal figures, rising from the corners of a square plinth on four paw feet.|Wide yellow lines between narrow orange lines run round the inner and outer edges of the rim of the salt pan and round the top and bottom of the sides of the plinth.","17th Century|Circa 1600 CE - 1650 CE",NA,"Tin-glaze|Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/79135"
"25",NA,"Factory: Chiodo factory (Probably)","Accession number: C.2224 & A-1928|Primary reference Number: 80789|Old object number: 3607|Stable URI","Tin-glazed earthenware","Teapot|Cover|Maiolica","Method of acquisition: Bequeathed (1928) by Glaisher, J. W. L., Dr","Earthenware, tin-glazed overall. Sprayed with manganese-purple and decorated by a resist process in green and yellow.|Ovoid body standing on a low footring, with curved spout, double-twist handle, dividing at its base into spirals projecting on each side, and a domed cover with a narrow rim and acorn finial.|The shoulder and cover are each encircled by a continuous wavy stem of yellow and green flowers and foliage, reserved in a manganese ground which covers the whole pot with the exception of a ring round the foot and another round the edge of the cover. The finial and the edges of the cover, spout, and mouth are outlined in a darker shade of manganese. The base is marked in manganese with a lighthouse.","18th century|Circa 1740 CE - 1770 CE","Rococo","Tin-glaze|Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/80789"
"26",NA,"Factory: Giordano factory","Accession number: C.2226 & A-1928|Primary reference Number: 80788|Old object number: 1052|Stable URI","Tin-glazed earthenware","Teapot|Cover|Maiolica","Method of acquisition: Bequeathed (1928) by Glaisher, J. W. L., Dr","Maiolica teapot painted in blue Yellowish-buff earthenware, tin-glazed overall. Painted in blue.
Ovoid, standing on a low footring, double twist handle, dividing at its base into spirals projecting on each side, curved spout, and domed cover with a narrow rim.
On the shoulder is a formal border incorporating scrolls, panels of trellis diaper, dots, and lambrequins; on the foot, a horizontal band, and above, two horizontal bands and a row of criss-crosses. The end of the spout has two bands with an elongated tassel below. There are horizontal strokes on the handle and on the lid, a wreath of foliage on a wavy stem within a band. The base is marked in blue with an orb with a `G' or `6' below.","18th century|Circa 1720 CE - 1750 CE",NA,"Tin-glaze|Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/80788"
"27","Maiolica dish with a broad rim","Maker: 'Assumption Painter'","Accession number: EC.36-1942|Primary reference Number: 80787|Stable URI","Tin-glazed earthenware|Maiolica","Dish|dish with broad rim","Method of acquisition: Bought (1942) by Sotheby's","Painted in polychrome, with a man being fired at by arrows in a landscape, being released or tied up by a young woman Earthenware, tin-glazed greyish-white overall. Painted in dark blue, pale blue, pale green, yellow, orange, and opaque white. There are three small spur marks in the well. Shape approximately 59 (Poole 1995), slightly convex in the middle. Circular with a broad rim, and deep curved well, slightly convex in the middle.
The central medallion contains a landscape in which a stream of arrows speeds towards a young man who is bound to a stake, while a young woman is either tying him up or releasing him. The sides are decorated with bianco sopra bianco and orange Vs between rows of simulated beading. On the rim are grotesques reserved in a dark blue ground: four labels inscribed `1520', each flanked by cornucopiae and scrolls and surmounted by a winged putto's head, alternating with four grotesque masks, each flanked by dolphin scrolls and surmounted by a palmette. The rim is yellow.
The middle of the back is painted in blue with three concentric circles, crossed by two lines. One quarter contains a small circle, the other three an arrow pointing towards the centre. Radiating from the base are two rows of blue petals, the inner row transversely striped in blue and the outer in orange. The spaces between the petals are filled with blue transverse lines, and three narrow concentric blue bands encircle the edge.","16th century|Production date: AD 1520 : dated","Renaissance","in dark blue, pale blue, pale green, yellow, orange, and opaque white High-temperature colours|Tin-glaze|Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/80787"
"28",NA,"Maker: Unidentified Montelupo potter","Accession number: C.2176-1928|Primary reference Number: 80775|Stable URI","Tin-glazed earthenware|Maiolica","Plate","Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Earthenware, tin-glazed pale cream on the front and sides of the reverse, which are tinged with green on the left; the base has a few random areas of glaze. Painted in green, yellow, grey, and manganese. Shape 67. Circular with curved sides and slightly everted rim, standing on a flat base.|In the middle, there is a vine leaf within a manganese circle surrounded by five small yellow cones, five vine leaves, and five half leaves pointing inwards from the rim. The leaves and cones are outlined in manganese and enclosed by grey wavy lines. The back is decorated with three concentric manganese bands midway across the sides.","17th Century|Circa 1600 CE - 1700 CE",NA,"Tin-glaze|Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/80775"
"29",NA,"Maker: Unknown (Perhaps)","Accession number: C.2242-1928|Primary reference Number: 80771|Stable URI","Tin-glazed earthenware|Maiolica","Vase","Method of acquisition: Bequeathed (1928) by Glaisher, J. W. L., Dr","Earthenware, tin-glazed off-white overall. Painted in blue, sage-green, yellow, orange, brown, and manganese-purple. Inverted piriform body standing on a circular spreading foot, the upper part covered by a domed false cover surmounted by a globular finial with a hole in the top.|On the body is a coast scene with trees and buildings and the sun rising over distant mountains. The false cover and the foot have yellow grounds decorated with radiating elongated petals outlined in yellow and brown. There are two manganese horizontal bands between the top of the landscape and the upper part, and two more below the finial.","18th century|Circa 1700 CE - 1800 CE",NA,"Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/80771"
